stay_id,stay_added,start_date,end_date,duration,pet_total,service_type,owner_id,sitter_id,new_to_rover,booking_total_usd,postal_code
312306,2015-10-01 15:35:18,2015-10-04,2015-10-08,4,1,overnight-boarding,260952,464711,0,140,15235
457608,2015-10-01 15:35:21,2015-10-16,2015-10-24,8,1,overnight-traveling,1038046,920617,1,292,80206
312843,2015-10-01 15:35:23,2015-10-05,2015-10-08,3,2,overnight-boarding,1046843,468814,1,120,77339
309346,2015-10-01 15:36:02,2015-10-03,2015-10-03,1,1,overnight-boarding,393464,245358,0,12,91324
313665,2015-10-01 15:37:06,2015-10-16,2015-10-18,2,2,overnight-boarding,508623,261830,0,76,98058
458968,2015-10-01 15:37:40,2015-10-09,2015-10-11,2,2,overnight-traveling,1048189,738692,1,60,77079
313652,2015-10-01 15:38:25,2015-11-01,2015-11-02,1,1,overnight-boarding,660317,240872,0,100,97214
309587,2015-10-01 15:39:33,2015-10-08,2015-10-10,2,1,overnight-boarding,815587,997776,1,60,27712
313381,2015-10-01 15:39:38,2015-10-02,2015-10-03,1,1,overnight-boarding,819722,786726,0,23,32803
313619,2015-10-01 15:43:08,2015-10-02,2015-10-02,1,1,overnight-boarding,1032950,906577,1,25,46368
313680,2015-10-01 15:43:12,2015-10-01,2015-10-01,1,1,overnight-boarding,490350,485945,0,30,98208
313522,2015-10-01 15:44:27,2015-10-01,2015-10-04,3,2,overnight-boarding,1047821,723536,1,141.75,19406
313578,2015-10-01 15:44:40,2015-10-02,2015-10-04,2,1,overnight-boarding,1005975,429184,0,70,37209
312974,2015-10-01 15:45:08,2015-10-02,2015-10-11,9,1,overnight-boarding,144879,292340,0,315,98136
309209,2015-10-01 15:46:57,2015-10-01,2015-10-02,1,3,overnight-boarding,544623,755660,0,75,89002
312855,2015-10-01 15:47:24,2015-11-15,2015-11-18,3,1,overnight-boarding,585436,87524,0,52.5,98031
313669,2015-10-01 15:47:56,2015-10-02,2015-10-04,2,2,overnight-boarding,1039903,246934,1,106,60107
310420,2015-10-01 15:50:21,2015-10-06,2015-10-11,5,2,overnight-boarding,524973,631107,0,205,29646
311140,2015-10-01 15:52:39,2015-09-30,2015-09-30,1,2,overnight-boarding,965491,419505,0,48,37128
313671,2015-10-01 15:52:53,2015-10-02,2015-10-02,1,2,overnight-boarding,171912,536396,0,50,94552
458983,2015-10-01 15:53:31,2015-10-15,2015-10-18,3,1,overnight-traveling,1047173,798348,1,94.5,75204
458941,2015-10-01 15:54:09,2015-10-05,2015-10-09,4,1,overnight-traveling,927373,808744,0,75,94530
312806,2015-10-01 15:54:53,2015-11-23,2015-12-01,8,1,overnight-boarding,729421,624973,0,200,96818
313589,2015-10-01 15:55:03,2015-10-02,2015-10-05,3,1,overnight-boarding,1048192,443842,1,81.9,78721
458167,2015-10-01 15:56:18,2015-10-09,2015-10-11,2,2,overnight-traveling,870662,121084,0,80,44312
299033,2015-10-01 15:57:57,2015-10-16,2015-10-19,3,1,overnight-boarding,733654,524456,0,75,34135
313452,2015-10-01 15:58:29,2015-10-01,2015-10-04,3,1,overnight-boarding,574581,64822,0,120,83714
294681,2015-10-01 15:59:34,2015-10-09,2015-10-11,2,1,overnight-boarding,702870,199121,0,50,33619
458907,2015-10-01 16:00:15,2015-10-23,2015-10-25,2,2,overnight-traveling,867016,756404,0,100,78660
313645,2015-10-01 16:01:58,2015-10-12,2015-10-13,1,1,overnight-boarding,169859,64822,0,40,83714
311952,2015-10-01 16:02:47,2015-09-29,2015-09-30,1,1,overnight-boarding,425805,522666,0,30,78723
311561,2015-10-01 16:05:02,2015-10-02,2015-10-04,2,1,overnight-boarding,1044450,586944,1,0,48428
304687,2015-10-01 16:07:03,2015-10-02,2015-10-05,3,1,overnight-boarding,684196,677937,0,90,60614
312961,2015-10-01 16:07:25,2015-10-04,2015-10-07,3,1,overnight-boarding,1047037,991183,1,0,32257
313568,2015-10-01 16:07:57,2015-10-19,2015-10-23,4,2,overnight-boarding,247656,590347,0,64,11795
458845,2015-10-01 16:08:31,2015-10-02,2015-10-05,3,1,overnight-traveling,1047364,627596,1,88.2,78754
312137,2015-10-01 16:09:17,2015-10-01,2015-10-05,4,1,overnight-boarding,1045507,698773,1,126,90007
458285,2015-10-01 16:09:35,2015-10-14,2015-10-18,4,2,overnight-traveling,1041348,31420,1,189,84522
313667,2015-10-01 16:09:45,2015-10-24,2015-10-26,2,2,overnight-boarding,252163,150756,0,30,79606
458835,2015-10-01 16:10:00,2015-11-27,2015-11-27,1,1,overnight-traveling,1047267,273166,1,0,85142
313056,2015-10-01 16:10:01,2015-10-03,2015-10-04,1,1,overnight-boarding,542452,535340,0,50,98107
313705,2015-10-01 16:10:08,2015-10-01,2015-10-07,6,1,overnight-boarding,677984,75563,0,180,90057
458860,2015-10-01 16:10:45,2015-10-02,2015-10-07,5,1,overnight-traveling,945367,1031297,0,126,89147
311827,2015-10-01 16:11:37,2015-10-06,2015-10-20,14,1,overnight-boarding,1012413,241805,1,350,33033
311630,2015-10-01 16:12:40,2015-11-26,2015-11-29,3,1,overnight-boarding,955615,853043,0,105,92117
313053,2015-10-01 16:13:18,2015-10-09,2015-10-12,3,1,overnight-boarding,955678,287460,0,84,80228
313713,2015-10-01 16:14:01,2015-10-03,2015-10-05,2,1,overnight-boarding,685630,901958,0,53.98,60487
312595,2015-10-01 16:14:08,2015-10-02,2015-10-04,2,1,overnight-boarding,1046354,1043450,1,53.98,80301
312502,2015-10-01 16:14:28,2015-10-09,2015-10-11,2,1,overnight-boarding,1046289,880436,1,71.4,75070
310647,2015-10-01 16:15:09,2015-10-02,2015-10-04,2,1,overnight-boarding,782167,609039,1,50,33322
